# id ra dec
1 0.068466 -0.309277
2 0.162502 -0.301107
3 0.182124 -0.229504
4 0.221556 -0.29249
5 0.00806669135031 -0.24097078526
6 0.020695853072 -0.278343319322
7 0.111075081513 -0.196565407226
8 0.174499542751 -0.202020535531
9 0.0613951 -0.327425
10 0.221114 -0.220686
11 0.051079 -0.539047
12 0.126577 -0.459003
13 0.19232 -0.501993
14 0.221221 -0.620238
15 0.063290999 -0.38578899
16 0.0064635 -0.559065
17 0.0256382 -0.502681
18 0.0334606 -0.457629
19 0.0969547 -0.569395
20 0.1248957 -0.424318
21 0.1422203 -0.404241
22 0.1483326 -0.52949
23 0.1546911 -0.393554
24 0.175101 -0.750386
25 0.242609 -0.779601
26 0.0209285614674 -0.641393022532
27 0.0852030824372 -0.844569038328
28 0.246836598348 -0.659666627587
29 0.0656888 -0.695843
30 0.095742 -0.664996
31 0.234879 -0.692739
32 359.99852 -0.655884
33 0.057506 -0.913001
34 0.136253 -0.920264
35 0.23706 -1.069387
36 0.130302775803 -1.06410213194
37 0.019943 -0.909634
38 0.0511753 -1.068211
39 0.0660365 -0.994902
40 0.0669602 -1.077525
41 0.1130201 -1.012627
42 0.2163456 -1.06778
43 0.2442161 -0.991624
44 0.061779 -1.1752
45 359.994452 -1.207033
46 0.0323589 -1.205233
47 0.1958905 -1.183794
48 0.2240128 -1.147737
49 0.00574621499496 -1.32500879187
50 0.022976550454 -1.45755301503
51 0.13637349016 -1.5230071299
52 0.136387783393 -1.44120695428
53 0.0465126529568 -1.74281980072
54 0.0524933191412 -1.7046433018
55 0.00531697386447 -2.03327328857
56 0.0502398015352 -2.00392993256
57 0.169414586892 -2.21663056176
58 0.0879678159539 -2.59337199845
59 0.0955828672367 -2.45457676374
60 0.0434283895843 -2.79442556123
61 0.226849771565 -2.70151607143
62 0.200857709093 -2.95544661477
63 0.228768971875 -2.89103812217
64 0.239583282729 -3.54695308022
65 0.248304196233 -3.56785299696
66 0.0702911686628 -3.70116309071
67 0.0250600499378 -3.89280956521
68 0.0240779689546 -4.33532490016
69 0.0928388568281 -4.17189019573
70 0.141245124769 -4.13361420982
71 0.216804144101 -4.29524830097
72 0.227096882396 -4.257491298
73 0.0770410669605 -4.44827784062
74 0.0386595057889 -4.82877469786
75 0.0526145961643 -4.71253085999
76 0.178745522761 -4.80660517108
77 0.049839 0.040365
78 0.1133171 -0.115211
79 0.2059586 -0.050576
80 0.0339 0.276301
81 0.214855 0.200707
82 359.997675 0.14487
83 0.11231837062 0.334664631484
84 0.182199582106 0.333868303366
85 0.217830790085 0.264497183682
86 0.0136302 0.1924486
87 0.0299145 0.3147413
88 0.083534 0.3355692
89 0.0907124 0.2350472
90 0.1222146 0.3362575
91 0.1332296 0.3805312
92 0.2299789 0.2292071
93 0.027228 0.515341
94 0.07453 0.436838
95 0.244895 0.586252
96 359.994688 0.562592
97 0.0316175511158 0.495354452969
98 0.0748846415473 0.407499340977
99 359.994273164 0.430947746568
100 0.0068553 0.5831838
101 0.0225632 0.4439025
102 0.0412808 0.4684841
103 0.0614343 0.5342458
104 0.0854271 0.45111
105 0.1689551 0.4745906
106 0.2431184 0.4245208
107 0.2433253 0.3992718
108 0.064497 0.879677
109 0.063214461111 0.809248288023
110 0.124961587765 0.812605583593
